name,year,level,type,apply,user,building,mode,Invest Coefficient,Invest Constant,Size Lower,Size Upper,Size Coefficient,Size Constant,Area Lower,Area Upper,Area Coefficient,Area Constant
Baden-Baden_Subsidy,2023,city,purchase,HeatPumpAirWater,premium_SWBAD,all,,,,30,inf,0,0,,,,
Baden-Baden_Subsidy,2023,city,purchase,HeatPumpBrineWater,premium_SWBAD,all,,,,0,30,0,1000,,,,
Baden-Baden_Subsidy,2023,city,purchase,HeatPumpBrineWater,premium_SWBAD,all,,,,30,inf,0,0,,,,
Baden-Baden_Subsidy,2023,city,purchase,CHP,premium_SWBAD,all,,,,0,5,0,1000,,,,
Baden-Baden_Subsidy,2023,city,purchase,CHP,premium_SWBAD,all,,,,5,inf,0,0,,,,
Konstanz_Subsidy,2023,city,purchase,HeatPump,basic,all,,,,0,inf,0,1000,,,,
Konstanz_Subsidy,2023,city,purchase,HeatPumpAirWater,basic,all,,,,0,inf,0,1000,,,,
Konstanz_Subsidy,2023,city,purchase,HeatPumpBrineWater,basic,all,,,,0,inf,0,1000,,,,
Konstanz_Subsidy,2023,city,purchase,PV,basic,all,,,,0,1.5,0,0,,,,
Konstanz_Subsidy,2023,city,purchase,PV,basic,all,,,,1.5,inf,0,300,,,,
Ludwigsburg_Subsidy,2023,city,purchase,PV,basic,all,,,,0,0.6,0,300,,,,
Ludwigsburg_Subsidy,2023,city,purchase,PV,basic,all,,,,0.6,6,250,0,,,,
Ludwigsburg_Subsidy,2023,city,purchase,PV,basic,all,,,,6,inf,0,1500,,,,
Ludwigsburg_Subsidy,2023,city,purchase,Battery,basic,all,,,,0,10,100,0,,,,
Ludwigsburg_Subsidy,2023,city,purchase,Battery,basic,all,,,,10,inf,0,1000,,,,
Ludwigsburg_Subsidy,2023,city,purchase,SolarThermalCollector,basic,all,,,,,,,,0,10,150,0
Ludwigsburg_Subsidy,2023,city,purchase,SolarThermalCollector,basic,all,,,,,,,,10,inf,0,1500
Ludwigsburg_Subsidy,2023,city,purchase,SolarThermalCollectorFlatPlate,basic,all,,,,,,,,0,10,150,0
Ludwigsburg_Subsidy,2023,city,purchase,SolarThermalCollectorFlatPlate,basic,all,,,,,,,,10,inf,0,1500
Ludwigsburg_Subsidy,2023,city,purchase,SolarThermalCollectorTube,basic,all,,,,,,,,0,10,150,0
Ludwigsburg_Subsidy,2023,city,purchase,SolarThermalCollectorTube,basic,all,,,,,,,,10,inf,0,1500
Tuebingen_Subsidy,2023,city,purchase,PV,premium_SWT,all,,,,0,1,0,0,,,,
Tuebingen_Subsidy,2023,city,purchase,PV,premium_SWT,all,,,,1,5,0,1500,,,,
Tuebingen_Subsidy,2023,city,purchase,PV,premium_SWT,all,,,,5,9,0,2250,,,,
Tuebingen_Subsidy,2023,city,purchase,PV,premium_SWT,all,,,,9,inf,0,3000,,,,
Tuebingen_Subsidy,2023,city,purchase,Battery,premium_SWT,all,,,,0,1,0,0,,,,
Tuebingen_Subsidy,2023,city,purchase,Battery,premium_SWT,all,,,,1,20,250,0,,,,
Tuebingen_Subsidy,2023,city,purchase,Battery,premium_SWT,all,,,,20,inf,0,4750,,,,
Tuebingen_Subsidy,2023,city,purchase,CHP,premium_SWT,all,,,,0,5,0,500,,,,
Tuebingen_Subsidy,2023,city,purchase,CHP,premium_SWT,all,,,,5,15,100,500,,,,
Tuebingen_Subsidy,2023,city,purchase,CHP,premium_SWT,all,,,,15,inf,0,1500,,,,
Muenhen_Subsidy,2023,city,purchase,PV,basic,EFH;ZFH;MFH,,,,0,0.6,400,0,,,,
Muenhen_Subsidy,2023,city,purchase,PV,basic,EFH;ZFH;MFH,,,,0.6,40,282,1500,,,,
Muenhen_Subsidy,2023,city,purchase,PV,basic,EFH;ZFH;MFH,,,,40,100,282,3500,,,,
Muenhen_Subsidy,2023,city,purchase,PV,basic,EFH;ZFH;MFH,,,,100,inf,282,9500,,,,
Muenhen_Subsidy,2023,city,purchase,PV,basic,NWG,,,,0,0.6,400,0,,,,
Muenhen_Subsidy,2023,city,purchase,PV,basic,NWG,,,,0.6,40,188,1500,,,,
Muenhen_Subsidy,2023,city,purchase,PV,basic,NWG,,,,40,100,188,3500,,,,
Muenhen_Subsidy,2023,city,purchase,PV,basic,NWG,,,,100,inf,94,18900,,,,
Muenhen_Subsidy,2023,city,purchase,SolarThermalCollector,basic,EFH;ZFH;MFH,,0.15,0,,,,,,,,
Muenhen_Subsidy,2023,city,purchase,SolarThermalCollectorFlatPlate,basic,EFH;ZFH;MFH,,0.15,0,,,,,,,,
Muenhen_Subsidy,2023,city,purchase,SolarThermalCollectorTube,basic,EFH;ZFH;MFH,,0.15,0,,,,,,,,
Muenhen_Subsidy,2023,city,purchase,SolarThermalCollector,basic,NWG,,0.15,0,,,,,,,,
Muenhen_Subsidy,2023,city,purchase,SolarThermalCollectorFlatPlate,basic,NWG,,0.15,0,,,,,,,,
Muenhen_Subsidy,2023,city,purchase,SolarThermalCollectorTube,basic,NWG,,0.15,0,,,,,,,,
Muenhen_Subsidy,2023,city,purchase,HeatPump,basic,EFH;ZFH;MFH,,0.15,0,,,,,,,,
