State,City,Component,User,Building Type,Size Lower,Size Upper,Size Coefficient,Size Constant,Invest Lower,Invest Upper,Invest Coefficient,Invest Constant,Area Lower,Area Upper,Area Coefficient,Area Constant
Hessen,Darmstadt,PV,None,Allgemein,0.45,0.6,0,400,,,,,,,,
Hessen,Darmstadt,PV,None,Allgemein,0.6,30,200,0,,,,,,,,
Hessen,Darmstadt,PV,None,Allgemein,30,inf,0,6000,,,,,,,,
Niedersachsen,Hannover,PV,None,EFH;ZFH,0,2,0,0,,,,,,,,
Niedersachsen,Hannover,PV,None,EFH;ZFH,2,30,100,0,,,,,,,,
Niedersachsen,Hannover,PV,None,EFH;ZFH,30,inf,0,3000,,,,,,,,
Niedersachsen,Hannover,PV,None,MFH;NWG,0,2,0,0,,,,,,,,
Niedersachsen,Hannover,PV,None,MFH;NWG,2,30,100,0,,,,,,,,
Niedersachsen,Hannover,PV,None,MFH;NWG,30,inf,0,3000,,,,,,,,
Niedersachsen,Hannover,SolarThermalCollector,None,EFH;ZFH,,,,,0,30000,0.1,0,,,,
Niedersachsen,Hannover,SolarThermalCollector,None,EFH;ZFH,,,,,30000,inf,,3000,,,,
Niedersachsen,Hannover,SolarThermalCollectorFlatPlate,None,EFH;ZFH,,,,,0,30000,0.1,0,,,,
Niedersachsen,Hannover,SolarThermalCollectorFlatPlate,None,EFH;ZFH,,,,,30000,inf,,3000,,,,
Niedersachsen,Hannover,SolarThermalCollectorTube,None,EFH;ZFH,,,,,0,30000,0.1,0,,,,
Niedersachsen,Hannover,SolarThermalCollectorTube,None,EFH;ZFH,,,,,30000,inf,,3000,,,,
Niedersachsen,Hannover,SolarThermalCollector,None,MFH;NWG,,,,,0,200000,0.1,0,,,,
Niedersachsen,Hannover,SolarThermalCollector,None,MFH;NWG,,,,,200000,inf,0,20000,,,,
Niedersachsen,Hannover,SolarThermalCollectorFlatPlate,None,MFH;NWG,,,,,0,200000,0.1,0,,,,
Niedersachsen,Hannover,SolarThermalCollectorFlatPlate,None,MFH;NWG,,,,,200000,inf,0,20000,,,,
Niedersachsen,Hannover,SolarThermalCollectorTube,None,MFH;NWG,,,,,0,200000,0.1,0,,,,
Niedersachsen,Hannover,SolarThermalCollectorTube,None,MFH;NWG,,,,,200000,inf,0,20000,,,,
Niedersachsen,Hannover,HeatPumpAirWater,None,EFH;ZFH,,,,,0,30000,0.1,0,,,,
Niedersachsen,Hannover,HeatPumpAirWater,None,EFH;ZFH,,,,,30000,inf,0,3000,,,,
Niedersachsen,Hannover,HeatPumpBrineWater,None,EFH;ZFH,,,,,0,30000,0.1,0,,,,
Niedersachsen,Hannover,HeatPumpBrineWater,None,EFH;ZFH,,,,,30000,inf,0,5000,,,,
Niedersachsen,Hannover,HeatPump,None,MFH;NWG,,,,,0,200000,0.1,0,,,,
Niedersachsen,Hannover,HeatPump,None,MFH;NWG,,,,,200000,inf,0,20000,,,,
Niedersachsen,Hannover,HeatPumpAirWater,None,MFH;NWG,,,,,0,200000,0.1,0,,,,
Niedersachsen,Hannover,HeatPumpAirWater,None,MFH;NWG,,,,,200000,inf,0,20000,,,,
Niedersachsen,Hannover,HeatPumpBrineWater,None,MFH;NWG,,,,,0,200000,0.1,0,,,,
Niedersachsen,Hannover,HeatPumpBrineWater,None,MFH;NWG,,,,,200000,inf,0,20000,,,,
Niedersachsen,Braunschweig,PV,None,Allgemein,0,0.25,0,0,,,,,,,,
Niedersachsen,Braunschweig,PV,None,Allgemein,0.25,0.4,0,250,,,,,,,,
Niedersachsen,Braunschweig,PV,None,Allgemein,0.4,0.6,0,400,,,,,,,,
Niedersachsen,Braunschweig,PV,None,Allgemein,0.6,3,0,0,,,,,,,,
Niedersachsen,Braunschweig,PV,None,Allgemein,3,20,200,0,,,,,,,,
Niedersachsen,Braunschweig,PV,None,Allgemein,20,inf,0,4000,,,,,,,,
Niedersachsen,Braunschweig,SolarThermalCollector,None,Allgemein,,,,,,,,,0,inf,0,1000
Niedersachsen,Braunschweig,SolarThermalCollectorFlatPlate,None,Allgemein,,,,,,,,,0,inf,0,1000
Niedersachsen,Braunschweig,SolarThermalCollectorTube,None,Allgemein,,,,,,,,,0,inf,0,1000
Niedersachsen,Braunschweig,HeatPumpAirWater,None,Allgemein,,,,,,,,,0,inf,0,1000
Niedersachsen,Braunschweig,HeatPumpBrineWater,None,Allgemein,,,,,,,,,0,inf,0,4000
Niedersachsen,Wolfsburg,PV,None,Allgemein,0,0.25,0,0,,,,,,,,
Niedersachsen,Wolfsburg,PV,None,Allgemein,0.25,0.4,0,150,,,,,,,,
Niedersachsen,Wolfsburg,PV,None,Allgemein,0.4,0.6,0,200,,,,,,,,
Niedersachsen,Wolfsburg,PV,None,Allgemein,0.6,1,0,0,,,,,,,,
Niedersachsen,Wolfsburg,PV,None,Allgemein,1,10,0,700,,,,,,,,
Niedersachsen,Wolfsburg,PV,None,Allgemein,10,15,0,1100,,,,,,,,
Niedersachsen,Wolfsburg,PV,None,Allgemein,15,inf,0,1500,,,,,,,,
Niedersachsen,Wolfsburg,Battery,None,Allgemein,0,3,0,0,,,,,,,,
Niedersachsen,Wolfsburg,Battery,None,Allgemein,3,inf,0,500,,,,,,,,
Niedersachsen,Oldenburg,PV,None,Allgemein,0,3,0,0,,,,,,,,
Niedersachsen,Oldenburg,PV,None,Allgemein,3,10,150,0,,,,,,,,
Niedersachsen,Oldenburg,PV,None,Allgemein,11,20,125,1500,,,,,,,,
Niedersachsen,Oldenburg,PV,None,Allgemein,21,35,100,2750,,,,,,,,
